127.0.0.1 - - [11/Apr/2022:14:41:47 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:48 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/ HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/home HTTP/1.1" 200 23874
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/owl.carousel.min.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/font-awesome.min.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/prettyPhoto.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 19888
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/core-style.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 45123
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/font-awesome.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/style.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 221891
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/template/css/position.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/bootstrap/style.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/animate.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 73641
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/owl.theme.default.min.css;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:51 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/bootstrap.min.css HTTP/1.1" 304 -
