127.0.0.1 - - [10/May/2022:23:53:11 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:12 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/ HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:12 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/home-admin HTTP/1.1" 200 26826
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/css/style.css;jsessionid=E1F6671CC863B40055AB41B1ECBD3482 HTTP/1.1" 200 506978
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/css/vendor.bundle.base.css;jsessionid=E1F6671CC863B40055AB41B1ECBD3482 HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/mdi/css/materialdesignicons.min.css;jsessionid=E1F6671CC863B40055AB41B1ECBD3482 HTTP/1.1" 200 123197
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/jquery.cookie.js;jsessionid=E1F6671CC863B40055AB41B1ECBD3482 HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/hoverable-collapse.js;jsessionid=E1F6671CC863B40055AB41B1ECBD3482 HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/off-canvas.js;jsessionid=E1F6671CC863B40055AB41B1ECBD3482 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/template.js;jsessionid=E1F6671CC863B40055AB41B1ECBD3482 HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [10/May/2022:23:53:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/file-upload.js;jsessionid=E1F6671CC863B40055AB41B1ECBD3482 HTTP/1.1" 200 420
